RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	27628	33420	1.259722	103.669722	1:15:35N	103:40:11E	48NUG5199639275	NA48-10	H	STRT		SN	00				N				PESEKFAIRWAY	Pesek Fairway	Pesek Fairway	PESEKFAIRWAY	Pesek Fairway	Pesek Fairway		1995-07-26	1	1			1993-09-01		
5	31802	38851	1.275	103.766389	1:16:30N	103:45:59E	48NUG6275340959	NA48-10	H	ANCH		SN	00				N				PASIRPANJANGCOASTALANCHORAGE	Pasir Panjang Coastal Anchorage	Pasir Panjang Coastal Anchorage	PASIRPANJANGCOASTALANCHORAGE	Pasir Panjang Coastal Anchorage	Pasir Panjang Coastal Anchorage		1995-04-26	1	1			1995-04-26		
5	-73042	-107135	1.231389	103.667222	1:13:53N	103:40:02E	48NUG5171636143	NA48-10	H	SHOL		SN	00				N				AJAXSHOAL	Ajax Shoal	Ajax Shoal	AJAXSHOAL	Ajax Shoal	Ajax Shoal		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73398	-107604	1.283333	103.716667	1:17:00N	103:43:00E	48NUG5722141883	NA48-10	H	CRKT		SN	00				D			Sungai	SUNGAILUMPUR	Sungai Lumpur	Sungai Lumpur	LUMPUR SUNGAI	Lumpur, Sungai	Lumpur, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23412	28222	1.207222	103.810556	1:12:26N	103:48:38E	48NUG6766433463	NA48-10	H	CHN		SN	00				N				SEBAROKCHANNEL	Sebarok Channel	Sebarok Channel	SEBAROKCHANNEL	Sebarok Channel	Sebarok Channel		1995-04-26	1	1			1995-04-26		
5	30452	36992	1.265	103.842778	1:15:54N	103:50:34E	48NUG7125339849	NA48-10	H	DCK		SN	00				N				ALBERTDOCK	Albert Dock	Albert Dock	ALBERTDOCK	Albert Dock	Albert Dock		1995-07-26	1	1			1993-09-01		
5	23151	27917	1.370278	103.793333	1:22:13N	103:47:36E	48NUG6575651491	NA48-10	H	RSV		SN	00				N				UPPERPEIRCERESERVOIR	Upper Peirce Reservoir	Upper Peirce Reservoir	UPPERPEIRCERESERVOIR	Upper Peirce Reservoir	Upper Peirce Reservoir		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	30480	37033	1.266389	103.813056	1:15:59N	103:48:47E	48NUG6794540004	NA48-10	H	DCK		SN	00				N				QUEENSDOCK	Queen’s Dock	Queen's Dock	QUEENSDOCK	Queen’s Dock	Queen's Dock		1995-07-26	1	1			1993-09-01		
5	23403	28212	1.1725	103.739444	1:10:21N	103:44:22E	48NUG5974929628	NA48-10	H	CRKT		SN	00				N			Sungai	SUNGAIPAKBEKANG	Sungai Pak Bekang	Sungai Pak Bekang	PAKBEKANG SUNGAI	Pak Bekang, Sungai	Pak Bekang, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73359	-107553	1.418333	103.679722	1:25:06N	103:40:47E	48NUG5311856811	NA48-10	H	STM		SN	00				D			Sungai	SUNGAIKARANG	Sungai Karang	Sungai Karang	KARANG SUNGAI	Karang, Sungai	Karang, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73692	-107999	1.278889	103.851944	1:16:44N	103:51:07E	48NUG7227341384	NA48-10	H	DCK		SN	00				N				TELOKAYERBASIN	Telok Ayer Basin	Telok Ayer Basin	TELOKAYERBASIN	Telok Ayer Basin	Telok Ayer Basin		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73692	-107152	1.278889	103.851944	1:16:44N	103:51:07E	48NUG7227341384	NA48-10	H	DCK		SN	00				V				TELOKAYER	Telok Ayer	Telok Ayer	AYER TELOK	Ayer, Telok	Ayer, Telok		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73684	-107989	1.466667	103.8	1:28:00N	103:48:00E	48NUG6650462147	NA48-10	H	STRT		SN	00				D				TEBRAUREACH	Tebrau Reach	Tebrau Reach	TEBRAUREACH	Tebrau Reach	Tebrau Reach		1995-07-26	1,2,3,4,5	1			1995-06-21		
5	-73684	-108014	1.466667	103.8	1:28:00N	103:48:00E	48NUG6650462147	NA48-10	H	STRT		SN	00				V				TERBRAUREACH	Terbrau Reach	Terbrau Reach	TERBRAUREACH	Terbrau Reach	Terbrau Reach		1995-07-26	1,2,3,4,5				1995-06-21		
5	-73096	-107205	1.379722	103.674167	1:22:47N	103:40:27E	48NUG5249752542	NA48-10	H	STM		SN	00				V				SUNGIBERIH	Sungi Berih	Sungi Berih	BERIH SUNGI	Berih, Sungi	Berih, Sungi		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73096	-107204	1.379722	103.674167	1:22:47N	103:40:27E	48NUG5249752542	NA48-10	H	STM		SN	00				N			Sungai	SUNGAIBERIH	Sungai Berih	Sungai Berih	BERIH SUNGAI	Berih, Sungai	Berih, Sungai		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73498	-107742	1.3	103.75	1:18:00N	103:45:00E	48NUG6093143724	NA48-10	H	CRKT		SN	00				D			Sungai	SUNGAIPEREPAT	Sungai Perepat	Sungai Perepat	PEREPAT SUNGAI	Perepat, Sungai	Perepat, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73490	-107761	1.370556	103.821389	1:22:14N	103:49:17E	48NUG6887851520	NA48-10	H	RSV		SN	00				V				PIERCERESERVOIR	Pierce Reservoir	Pierce Reservoir	PIERCERESERVOIR	Pierce Reservoir	Pierce Reservoir		1996-11-29	1,2,3,4,5				1993-09-01		
5	-73490	-107731	1.370556	103.821389	1:22:14N	103:49:17E	48NUG6887851520	NA48-10	H	RSV		SN	00				V				PEIRCERESERVOIR	Peirce Reservoir	Peirce Reservoir	PEIRCERESERVOIR	Peirce Reservoir	Peirce Reservoir		1996-11-29	1,2,3,4,5				1993-09-01		
5	-73490	50703	1.370556	103.821389	1:22:14N	103:49:17E	48NUG6887851520	NA48-10	H	RSV		SN	00				N				LOWERPEIRCERESERVOIR	Lower Peirce Reservoir	Lower Peirce Reservoir	LOWERPEIRCERESERVOIR	Lower Peirce Reservoir	Lower Peirce Reservoir		1996-11-29	1,2,3,4,5	1			1993-09-01		
5	32077	39225	1.254444	103.850833	1:15:16N	103:51:03E	48NUG7214838682	NA48-10	H	CHN		SN	00				N				BURANCHANNEL	Buran Channel	Buran Channel	BURANCHANNEL	Buran Channel	Buran Channel		1995-07-26	1	1			1993-09-01		
5	32105	39256	1.243333	103.840556	1:14:36N	103:50:26E	48NUG7100437454	NA48-10	H	CHN		SN	00				N				WATERBOATCHANNEL	Water Boat Channel	Water Boat Channel	WATERBOATCHANNEL	Water Boat Channel	Water Boat Channel		1995-07-26	1	1			1993-09-01		
