RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	14396	17239	1.225	103.77	1:13:30N	103:46:12E	48NUG6315235431	NA48-10	T	ISL		SN	00				V				PULAUANAKBUKOM	Pulau Anak Bukom	Pulau Anak Bukom	ANAKBUKOM PULAU	Anak Bukom, Pulau	Anak Bukom, Pulau		1994-07-21	1,2,3,4,5				1994-07-21		
5	31738	38760	1.201667	103.846667	1:12:06N	103:50:48E	48NUG7168232848	NA48-10	T	RK		SN	00				N			Karang	KARANGHAMBAT	Karang Hambat	Karang Hambat	HAMBAT KARANG	Hambat, Karang	Hambat, Karang		1995-07-26	1	1			1993-09-01		
5	-73214	-107376	1.336111	103.838889	1:20:10N	103:50:20E	48NUG7082347711	NA48-10	T	HLL		SN	00				N				GRAVEHILL	Grave Hill	Grave Hill	GRAVEHILL	Grave Hill	Grave Hill		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73579	-107846	1.434167	103.685	1:26:03N	103:41:06E	48NUG5370658561	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSARIMBUN	Pulau Sarimbun	Pulau Sarimbun	SARIMBUN PULAU	Sarimbun, Pulau	Sarimbun, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73480	-107712	1.3575	103.640556	1:21:27N	103:38:26E	48NUG4875650087	NA48-10	T	CAPE		SN	00				N			Tanjong	TANJONGPASIRLABA	Tanjong Pasir Laba	Tanjong Pasir Laba	PASIRLABA TANJONG	Pasir Laba, Tanjong	Pasir Laba, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73561	-107826	1.401111	104.021944	1:24:04N	104:01:19E	48NUG9119454888	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSAJAHAT	Pulau Sajahat	Pulau Sajahat	SAJAHAT PULAU	Sajahat, Pulau	Sajahat, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	23513	28342	1.207778	103.779167	1:12:28N	103:46:45E	48NUG6417133526	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGBERKAT	Tanjong Berkat	Tanjong Berkat	BERKAT TANJONG	Berkat, Tanjong	Berkat, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23531	28369	1.214444	103.835556	1:12:52N	103:50:08E	48NUG7044634261	NA48-10	T	ISL		SN	00				N				THESISTERS	The Sisters	The Sisters	SISTERS THE	Sisters, The	Sisters, The		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73193	-107346	1.305833	103.833889	1:18:21N	103:50:02E	48NUG7026644364	NA48-10	T	HLL		SN	00				N			Mount	MOUNTELIZABETH	Mount Elizabeth	Mount Elizabeth	ELIZABETH MOUNT	Elizabeth, Mount	Elizabeth, Mount		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73152	-107286	1.383889	103.983611	1:23:02N	103:59:01E	48NUG8692852986	NA48-10	T	HLL		SN	00				N				CHANGI	Changi	Changi	CHANGI	Changi	Changi		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73152	-107292	1.383889	103.983611	1:23:02N	103:59:01E	48NUG8692852986	NA48-10	T	HLL		SN	00				V				CHANGIHILL	Changi Hill	Changi Hill	CHANGIHILL	Changi Hill	Changi Hill		1995-04-27	1,2,3,4,5				1995-04-25		
5	-73049	-107145	1.288333	103.694167	1:17:18N	103:41:39E	48NUG5471742437	NA48-10	T	ISL		SN	00				N				ANAKPULAU	Anak Pulau	Anak Pulau	ANAKPULAU	Anak Pulau	Anak Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73144	-107275	1.234444	103.745556	1:14:04N	103:44:44E	48NUG6043336476	NA48-10	T	ISL		SN	00				N			Pulau	PULAUBUSING	Pulau Busing	Pulau Busing	BUSING PULAU	Busing, Pulau	Busing, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73144	-107232	1.234444	103.745556	1:14:04N	103:44:44E	48NUG6043336476	NA48-10	T	ISL		SN	00				V				POELAUBOSING	Poelau Bosing	Poelau Bosing	BOSING POELAU	Bosing, Poelau	Bosing, Poelau		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73237	-107406	1.3	103.833333	1:18:00N	103:50:00E	48NUG7020343719	NA48-10	T	HLL		SN	00				D				INSTITUTIONHILL	Institution Hill	Institution Hill	INSTITUTIONHILL	Institution Hill	Institution Hill		1995-07-26	1,2,3,4,5	1			1993-09-01		
