RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	27590	33369	1.3175	103.7075	1:19:03N	103:42:27E	48NUG5620345661	NA48-10	T	HLL		SN	00				N				JURONGHILL	Jurong Hill	Jurong Hill	JURONGHILL	Jurong Hill	Jurong Hill		1995-07-26	1	1			1993-09-01		
5	27597	33380	1.300278	103.697222	1:18:01N	103:41:50E	48NUG5505843757	NA48-10	S	DCKY		SN	00				N				JURONGSHIPYARD	Jurong Shipyard	Jurong Shipyard	JURONGSHIPYARD	Jurong Shipyard	Jurong Shipyard		1995-07-26	1	1			1993-09-01		
5	27602	33387	1.301389	103.671389	1:18:05N	103:40:17E	48NUG5218343882	NA48-10	H	DCK		SN	00				N				GULBASIN	Gul Basin	Gul Basin	GULBASIN	Gul Basin	Gul Basin		1995-07-26	1	1			1993-09-01		
5	31743	38767	1.202778	103.794167	1:12:10N	103:47:39E	48NUG6584032973	NA48-10	H	RF		SN	00				N				JAMBIWEST	Jambi West	Jambi West	JAMBIWEST	Jambi West	Jambi West		1995-07-26	1,2	1			1993-09-01		
5	31746	38776	1.226389	103.778056	1:13:35N	103:46:41E	48NUG6404935584	NA48-10	S	WHRF		SN	00				N				EASTGATEWHARF	Eastgate Wharf	Eastgate Wharf	EASTGATEWHARF	Eastgate Wharf	Eastgate Wharf		1995-07-26	1	1			1993-09-01		
5	30329	36808	1.319444	103.754722	1:19:10N	103:45:17E	48NUG6145745873	NA48-10	P	PPLX		SN	00				N				HONGLEONGGARDEN	Hong Leong Garden	Hong Leong Garden	HONGLEONGGARDEN	Hong Leong Garden	Hong Leong Garden		1995-07-26	1	1			1993-09-01		
5	30331	36810	1.308889	103.768889	1:18:32N	103:46:08E	48NUG6303344705	NA48-10	P	PPLX		SN	00				N				SUSSEXESTATE	Sussex Estate	Sussex Estate	SUSSEXESTATE	Sussex Estate	Sussex Estate		1995-07-26	1	1			1993-09-01		
5	30351	36839	1.298889	103.807778	1:17:56N	103:48:28E	48NUG6736043598	NA48-10	S	PRN		SN	00				N				REMANDPRISON	Remand Prison	Remand Prison	REMANDPRISON	Remand Prison	Remand Prison		1995-07-26	1	1			1993-09-01		
5	27627	33419	1.269722	103.635833	1:16:11N	103:38:09E	48NUG4822540383	NA48-10	H	ANCH		SN	00				N				WESTJURONGANCHORAGE	West Jurong Anchorage	West Jurong Anchorage	WESTJURONGANCHORAGE	West Jurong Anchorage	West Jurong Anchorage		1995-07-26	1	1			1993-09-01		
5	14115	16916	1.223611	103.724444	1:13:25N	103:43:28E	48NUG5808335280	NA48-10	H	SHOL		SN	00				N				MONGGOKGERITA	Monggok Gerita	Monggok Gerita	MONGGOKGERITA	Monggok Gerita	Monggok Gerita		1995-07-26	1,2	1			1993-09-01		
5	14118	16919	1.248056	103.701111	1:14:53N	103:42:04E	48NUG5548837984	NA48-10	H	RF		SN	00				N			Terumbu	TERUMBUSEREBUT	Terumbu Serebut	Terumbu Serebut	SEREBUT TERUMBU	Serebut, Terumbu	Serebut, Terumbu		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	14119	16920	1.291111	103.756111	1:17:28N	103:45:22E	48NUG6161042741	NA48-10	H	RF		SN	00				N			Terumbu	TERUMBURETANDARAT	Terumbu Retan Darat	Terumbu Retan Darat	RETANDARAT TERUMBU	Retan Darat, Terumbu	Retan Darat, Terumbu		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	14119	50903	1.291111	103.756111	1:17:28N	103:45:22E	48NUG6161042741	NA48-10	H	RF		SN	00				V				TERUMBURETENDARAT	Terumbu Reten Darat	Terumbu Reten Darat	RETENDARAT TERUMBU	Reten Darat, Terumbu	Reten Darat, Terumbu		1995-07-26	1,2,3,4,5				1993-09-01		
5	26888	32467	1.421944	103.929167	1:25:19N	103:55:45E	48NUG8087357195	NA48-10	S	TRIG		SN	00				N				TANJONGTAJAM	Tanjong Tajam	Tanjong Tajam	TANJONGTAJAM	Tanjong Tajam	Tanjong Tajam		1995-04-27	1	1			1995-03-09		
5	26893	32473	1.383611	103.945278	1:23:01N	103:56:43E	48NUG8266352957	NA48-10	L	PRK		SN	00				N				PASIRRISBEACHPARK	Pasir Ris Beach Park	Pasir Ris Beach Park	PASIRRISBEACHPARK	Pasir Ris Beach Park	Pasir Ris Beach Park		1995-04-27	1	1			1995-03-09		
5	26895	32475	1.385	103.945556	1:23:06N	103:56:44E	48NUG8269453111	NA48-10	T	BCH		SN	00				N				PASIRRISBEACH	Pasir Ris Beach	Pasir Ris Beach	PASIRRISBEACH	Pasir Ris Beach	Pasir Ris Beach		1995-04-27	1	1			1995-03-09		
5	27554	33336	1.338611	103.73	1:20:19N	103:43:48E	48NUG5870747994	NA48-10	L	RESN		SN	00				N				CHINESEGARDEN	Chinese Garden	Chinese Garden	CHINESEGARDEN	Chinese Garden	Chinese Garden		1995-07-26	1	1			1993-09-01		
